gene1,gene2,corr
PDCD1LG2,GPR65,0.648914498930542
PDCD1LG2,SP140,0.6736197696019024
PDCD1LG2,HAVCR2,0.6447114204289042
PDCD1LG2,HVCN1,0.6177998700729804
PDCD1LG2,CCND2,0.6498777870851965
PDCD1LG2,HCLS1,0.6587580067212203
PDCD1LG2,ELMO1,0.6007016743316479
PDCD1LG2,PRDM1,0.6691567941776473
PDCD1LG2,LHFPL2,0.6497188340277747
PDCD1LG2,TMEM140,0.6004999584584332
PDCD1LG2,DOCK8,0.6376563008860855
PDCD1LG2,HLA-DMA,0.6378476681519866
PDCD1LG2,FMNL2,0.6274088963767448
PDCD1LG2,CD4,0.7199087174206071
PDCD1LG2,CD96,0.7535850266360795
PDCD1LG2,PIK3R5,0.6486470689847151
PDCD1LG2,BTN3A3,0.6707056275441098
PDCD1LG2,SAMSN1,0.6886888371102742
PDCD1LG2,PIK3AP1,0.75715829349775
PDCD1LG2,NCF1,0.6213229202342737
PDCD1LG2,TNFSF13B,0.7393674783106321
PDCD1LG2,TNFRSF8,0.6204493874060041
PDCD1LG2,TRDC,0.6852883371246036
PDCD1LG2,SNX20,0.7031176509395619
PDCD1LG2,BTK,0.6918454481011067
PDCD1LG2,ST8SIA4,0.6774468723207735
PDCD1LG2,LY96,0.6823360549448234
PDCD1LG2,RUNX3,0.626638885787538
PDCD1LG2,CD69,0.6363838294969046
PDCD1LG2,SLC1A3,0.7014829954013466
PDCD1LG2,C1S,0.7361801964147532
PDCD1LG2,IL18R1,0.7197600757136138
PDCD1LG2,SCML4,0.6178290101138747
PDCD1LG2,IKZF1,0.767476697181958
PDCD1LG2,MSN,0.6383690609051119
PDCD1LG2,CD28,0.6897383946533744
PDCD1LG2,ARHGAP9,0.6373731016962861
PDCD1LG2,CYSLTR2,0.6089341139959104
PDCD1LG2,GBP1P1,0.7479279832175287
PDCD1LG2,LAPTM5,0.6275488472271283
PDCD1LG2,IFNAR2,0.6055199983798051
PDCD1LG2,TRABD2A,0.6298154158786361
PDCD1LG2,GBP1,0.7624536611275257
PDCD1LG2,CPVL,0.6713887845722452
PDCD1LG2,WDFY4,0.6633299014152068
PDCD1LG2,INPP5D,0.6818711265504441
PDCD1LG2,CSF1R,0.6214834350009687
PDCD1LG2,NCKAP1L,0.7468215378480734
PDCD1LG2,KCTD12,0.6237803033535892
PDCD1LG2,NT5E,0.64797976019042
PDCD1LG2,LINC00861,0.6221463730916141
PDCD1LG2,SIRPG,0.6090815325273113
PDCD1LG2,GIMAP5,0.6754376572222349
PDCD1LG2,SAMHD1,0.7379323399655129
PDCD1LG2,ZBED2,0.6054881731661587
PDCD1LG2,LYZ,0.6513146564978903
PDCD1LG2,MS4A4A,0.7132809474790937
PDCD1LG2,PIK3CG,0.6976742937053872
PDCD1LG2,IL12RB1,0.6761839246924483
PDCD1LG2,EVI2A,0.682329111745802
PDCD1LG2,LILRB4,0.6276050272139275
PDCD1LG2,TLR4,0.7029198398781835
PDCD1LG2,FLI1,0.6932908381979573
PDCD1LG2,PRF1,0.7344075295395479
PDCD1LG2,CYBB,0.7585195340617906
PDCD1LG2,SYT11,0.6095313556915912
PDCD1LG2,CCL4,0.676978388092919
